# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\intelFPGA_lite\18.1\Lab2\Lab2.csv
# Generated on: Mon Feb 13 20:56:52 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
A[3],Input,PIN_AB12,4A,B4A_N0,PIN_T12,2.5 V,,,,,,,,,,,,,
A[2],Input,PIN_AB13,4A,B4A_N0,PIN_T13,2.5 V,,,,,,,,,,,,,
A[1],Input,PIN_AA13,4A,B4A_N0,PIN_V13,2.5 V,,,,,,,,,,,,,
A[0],Input,PIN_AA14,4A,B4A_N0,PIN_U13,2.5 V,,,,,,,,,,,,,
B[3],Input,PIN_AB15,4A,B4A_N0,PIN_AA13,2.5 V,,,,,,,,,,,,,
B[2],Input,PIN_AA15,4A,B4A_N0,PIN_AA14,2.5 V,,,,,,,,,,,,,
B[1],Input,PIN_T12,4A,B4A_N0,PIN_AB15,2.5 V,,,,,,,,,,,,,
B[0],Input,PIN_T13,4A,B4A_N0,PIN_AA15,2.5 V,,,,,,,,,,,,,
Cin,Input,PIN_U7,3A,B3A_N0,PIN_AB13,2.5 V,,,,,,,,,,,,,
Cout,Output,PIN_AA2,2A,B2A_N0,PIN_N2,2.5 V,,,,,,,,,,,,,
F[3],Output,PIN_L1,2A,B2A_N0,PIN_Y3,2.5 V,,,,,,,,,,,,,
F[2],Output,PIN_L2,2A,B2A_N0,PIN_W2,2.5 V,,,,,,,,,,,,,
F[1],Output,PIN_U1,2A,B2A_N0,PIN_AA1,2.5 V,,,,,,,,,,,,,
F[0],Output,PIN_U2,2A,B2A_N0,PIN_AA2,2.5 V,,,,,,,,,,,,,
S[1],Input,PIN_V13,4A,B4A_N0,PIN_W9,2.5 V,,,,,,,,,,,,,
S[0],Input,PIN_U13,4A,B4A_N0,PIN_U7,2.5 V,,,,,,,,,,,,,
